Line,# Letter, Cz/theta, Cz/alpha, Cz/betaL, Cz/betaH, Cz/gamma, Fz/theta, Fz/alpha, Fz/betaL, Fz/betaH, Fz/gamma, Fp1/theta, Fp1/alpha, Fp1/betaL, Fp1/betaH, Fp1/gamma, F7/theta, F7/alpha, F7/betaL, F7/betaH, F7/gamma, F3/theta, F3/alpha, F3/betaL, F3/betaH, F3/gamma, FC1/theta, FC1/alpha, FC1/betaL, FC1/betaH, FC1/gamma, C3/theta, C3/alpha, C3/betaL, C3/betaH, C3/gamma, FC5/theta, FC5/alpha, FC5/betaL, FC5/betaH, FC5/gamma, FT9/theta, FT9/alpha, FT9/betaL, FT9/betaH, FT9/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, TP9/theta, TP9/alpha, TP9/betaL, TP9/betaH, TP9/gamma, CP5/theta, CP5/alpha, CP5/betaL, CP5/betaH, CP5/gamma, CP1/theta, CP1/alpha, CP1/betaL, CP1/betaH, CP1/gamma, P3/theta, P3/alpha, P3/betaL, P3/betaH, P3/gamma, P7/theta, P7/alpha, P7/betaL, P7/betaH, P7/gamma, O1/theta, O1/alpha, O1/betaL, O1/betaH, O1/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, Oz/theta, Oz/alpha, Oz/betaL, Oz/betaH, Oz/gamma, O2/theta, O2/alpha, O2/betaL, O2/betaH, O2/gamma, P8/theta, P8/alpha, P8/betaL, P8/betaH, P8/gamma, P4/theta, P4/alpha, P4/betaL, P4/betaH, P4/gamma, CP2/theta, CP2/alpha, CP2/betaL, CP2/betaH, CP2/gamma, CP6/theta, CP6/alpha, CP6/betaL, CP6/betaH, CP6/gamma, TP10/theta, TP10/alpha, TP10/betaL, TP10/betaH, TP10/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, FT10/theta, FT10/alpha, FT10/betaL, FT10/betaH, FT10/gamma, FC6/theta, FC6/alpha, FC6/betaL, FC6/betaH, FC6/gamma, C4/theta, C4/alpha, C4/betaL, C4/betaH, C4/gamma, FC2/theta, FC2/alpha, FC2/betaL, FC2/betaH, FC2/gamma, F4/theta, F4/alpha, F4/betaL, F4/betaH, F4/gamma, F8/theta, F8/alpha, F8/betaL, F8/betaH, F8/gamma, Fp2/theta, Fp2/alpha, Fp2/betaL, Fp2/betaH, Fp2/gamma
10,0,0.479,0.894,1.252,1.423,0.476,2.28,0.717,1.379,2.283,7.508,1.628,0.569,0.8369999999999999,2.623,7.716999999999999,1.864,1.35,1.502,2.808,6.903,1.692,1.923,3.091,5.991,2.385,0.084,0.03,0.013,0.01,0.003,2.2,1.133,3.113,5.381,3.966,1.184,3.077,2.464,2.777,0.344,1.537,1.6,0.967,2.855,7.327,3.127,1.751,1.894,2.636,7.583,1.751,8.643,2.608,2.173,0.242,2.283,2.553,1.779,2.764,7.045,0.595,1.538,0.333,0.083,0.04,1.155,3.517,0.331,0.339,0.062,1.706,20.774,3.346,5.46,2.388,2.017,39.131,2.899,3.809,0.291,0.872,7.686,0.378,0.25,0.123,3.198,37.892,1.452,2.985,0.554,3.288,44.578,2.218,3.594,0.905,5.314,20.739,3.3,3.311,5.314,0.772,16.004,0.311,0.425,0.184,0.983,5.688,1.784,0.59,0.228,2.175,4.111,2.633,2.343,7.352999999999998,2.738,24.916,3.108,3.678,0.934,3.315,8.753999999999998,1.828,3.786,6.397,3.464,4.017,1.717,3.76,6.175,3.323,4.436,1.663,3.019,6.606,0.617,1.506,0.7259999999999999,0.507,0.152,0.41,0.14,0.302,0.071,0.045,0.698,1.423,3.681,6.015,1.829,2.104,3.747,1.771,4.704,5.242,1.468,0.648,0.8,2.25,7.617
11,0,0.285,0.588,1.102,1.262,0.516,2.507,0.529,1.103,2.047,7.514,1.805,0.454,0.601,2.639,7.735,1.207,1.437,1.139,3.093,6.8,1.231,1.99,2.925,6.273,2.424,0.081,0.037,0.014,0.01,0.004,1.851,1.002,3.249,5.443,3.963,0.869,3.443,1.54,2.864,0.445,1.089,1.786,0.962,2.88,7.267999999999998,1.952,2.57,1.526,2.706,7.634999999999998,1.485,7.740999999999999,1.734,1.695,0.306,2.693,2.451,1.639,2.761,7.063,0.442,1.228,0.469,0.08899999999999998,0.05,0.9940000000000001,2.668,0.483,0.238,0.053,1.77,17.971,2.931,4.997,2.369,1.32,29.962,3.343,3.372,0.318,0.769,7.823,0.3,0.229,0.156,3.321,34.669,1.425,2.723,0.488,4.345,42.75,2.036,3.428,0.8519999999999999,4.45,17.258,2.568,3.447,5.342,0.788,15.738,0.306,0.345,0.218,1.09,6.424,1.511,0.774,0.242,1.758,4.035,2.274,2.558,7.301,5.022,25.449,3.484,3.555,0.9980000000000001,3.574,7.59,1.668,3.366,6.45,4.659,3.901,1.534,3.306,6.325,3.337,3.346,1.389,2.99,6.556,0.614,1.785,0.573,0.742,0.152,0.854,0.127,0.242,0.039,0.041,0.859,1.312,3.016,5.781,1.864,2.655,2.97,1.352,3.989,5.282,1.729,0.476,0.59,2.02,7.572
12,0,0.34,0.421,0.701,1.201,0.544,2.515,0.511,1.057,2.065,7.534,1.645,0.521,0.585,2.732,7.655,1.073,2.171,0.8379999999999999,3.65,6.738,1.056,1.918,2.348,6.795,2.449,0.067,0.038,0.016,0.01,0.004,1.763,1.546,3.195,5.7,3.971,0.649,3.546,1.373,3.297,0.583,0.884,1.868,1.069,3.185,7.211999999999998,1.026,2.724,1.17,2.927,7.626999999999998,1.218,7.9,1.141,1.339,0.294,3.399,2.759,1.459,2.706,7.118,0.431,1.534,0.523,0.084,0.066,0.8429999999999999,2.611,0.663,0.151,0.062,2.055,18.43,2.105,4.229,2.222,0.911,29.938,3.907,2.592,0.324,0.895,8.231,0.221,0.193,0.164,3.113,33.402,1.49,2.865,0.498,4.271,42.649,1.868,3.286,0.882,3.541,15.161,1.857,3.295,5.481,1.018,16.469,0.717,0.287,0.201,1.045,7.865999999999999,1.291,0.883,0.232,1.181,3.612,1.72,2.699,7.264,6.314,25.64,3.619,3.347,1.089,3.018,7.649,1.321,2.874,6.388,5.217,3.828,1.296,2.633,6.634,2.725,3.25,1.152,2.772,6.564,0.627,2.416,0.45,0.899,0.131,1.217,0.159,0.246,0.049,0.049,0.929,1.221,2.444,5.794,1.836,3.431,2.713,1.561,3.642,5.241,2.63,0.439,0.635,1.865,7.615
13,0,0.494,0.387,0.451,1.217,0.516,2.813,0.696,1.289,2.326,7.426,1.433,0.8409999999999999,0.8169999999999998,2.814,7.562,1.361,3.629,0.8299999999999998,4.167,6.634,1.011,2.561,2.077,7.127,2.458,0.067,0.039,0.016,0.008999999999999998,0.004,2.234,2.874,3.214,6.19,4.016,0.444,4.073,1.512,3.856,0.627,0.8419999999999999,2.11,1.22,3.68,7.086,0.684,2.257,1.209,3.079,7.526,1.141,8.384999999999998,1.267,1.387,0.237,3.083,2.973,1.181,2.801,7.167,0.576,1.978,0.429,0.08699999999999998,0.071,0.673,2.932,0.698,0.104,0.069,1.63,20.082,2.361,3.861,2.103,0.978,37.65,3.806,2.343,0.327,1.143,9.459,0.255,0.179,0.152,2.358,35.611,2.029,2.67,0.49,2.736,45.757,2.197,2.791,0.924,2.92,15.794,2.152,2.703,5.676,1.05,18.178,1.444,0.264,0.146,0.88,9.279000000000002,1.032,0.947,0.181,0.699,3.545,1.569,2.544,7.261999999999999,4.897,26.011,3.393,3.195,1.169,2.537,8.23,1.337,2.522,6.395,5.033,3.694,1.519,2.175,6.867,2.283,3.69,1.263,2.529,6.65,0.675,2.977,0.572,0.89,0.123,1.119,0.17,0.21,0.07299999999999998,0.053,1.018,1.032,2.95,5.9,1.697,4.564,2.764,2.701,3.683,5.074,3.693,0.488,1.025,1.786,7.668999999999999
14,0,0.675,0.404,0.376,1.231,0.429,2.872,0.854,1.489,2.509,7.288,1.447,1.313,1.211,2.653,7.581,1.781,4.771,0.966,4.252,6.566,1.098,3.528,2.206,6.955,2.554,0.11,0.043,0.014,0.008,0.003,2.555,4.026,3.1,6.283,4.268,0.417,5.381,1.803,4.197,0.578,1.589,2.654,1.386,3.66,7.021,0.7259999999999999,2.109,1.644,2.8,7.465,1.221,9.732,2.074,1.855,0.226,2.132,3.23,1.043,3.003,7.039,0.68,2.319,0.334,0.103,0.068,0.543,4.201,0.57,0.111,0.067,1.121,21.004,3.626,4.338,2.107,1.175,45.207,2.968,2.836,0.354,1.285,9.687,0.38,0.178,0.135,1.843,38.82,2.546,2.159,0.405,1.55,47.008,3.028,2.278,0.919,2.166,15.842,2.793,2.2,5.941,0.926,17.341,1.765,0.271,0.114,0.876,9.069,0.777,1.062,0.131,0.54,3.416,1.744,2.257,7.351,2.624,24.738,3.171,3.203,1.22,2.826,7.133,1.751,2.418,6.452,4.684,3.194,2.017,2.085,6.826,2.421,3.415,1.723,2.408,6.682,0.665,2.79,0.791,0.8139999999999998,0.129,0.7249999999999999,0.171,0.155,0.096,0.057,1.207,0.808,3.613,6.054,1.553,5.068,2.192,3.825,3.832,4.83,3.629,0.532,1.469,1.757,7.655
15,0,0.883,0.446,0.354,1.287,0.366,2.817,0.745,1.349,2.385,7.384999999999998,1.651,1.465,1.316,2.329,7.684,2.377,4.651,1.066,3.888,6.658,1.148,3.287,2.327,6.562,2.683,0.162,0.048,0.013,0.007,0.003,2.053,4.259,2.533,5.515,4.649,0.648,6.333,2.155,4.201,0.498,3.464,3.064,1.441,3.006,7.117,1.113,2.523,2.083,2.187,7.543999999999999,1.763,12.526,2.787,2.187,0.278,1.64,3.56,0.985,2.948,6.932,0.735,2.627,0.335,0.117,0.069,0.61,6.694,0.423,0.136,0.063,1.651,23.718,4.135,4.905,2.186,2.127,50.352,2.27,3.03,0.442,1.437,7.969999999999998,0.498,0.157,0.124,2.409,41.856,2.85,2.095,0.327,1.497,43.881,3.79,2.081,0.971,1.563,14.482,2.842,2.091,6.206,1.176,13.538,1.423,0.321,0.122,1.18,7.168,0.786,1.098,0.126,0.936,3.11,1.89,2.084,7.474,2.135,21.489,2.926,3.029,1.216,2.691,4.632,1.94,2.516,6.509,4.043,2.625,2.098,2.255,6.707,2.196,2.469,2.013,2.441,6.712,0.538,1.988,0.905,0.761,0.126,0.421,0.195,0.132,0.098,0.06,1.262,0.9910000000000002,3.492,6.125,1.603,4.077,1.242,3.824,3.914,4.817,2.869,0.511,1.493,1.743,7.666
16,0,0.965,0.498,0.347,1.406,0.385,3.261,0.655,1.277,1.991,7.684,2.187,1.089,0.937,2.108,7.833999999999999,3.17,3.544,0.969,3.379,6.909,1.163,1.915,2.206,6.306,2.735,0.174,0.063,0.02,0.007,0.005,1.398,3.758,1.924,4.452,4.832,0.923,5.684,2.248,3.887,0.425,5.395,2.742,1.253,2.365,7.347,1.45,2.613,1.992,1.7,7.801999999999999,2.765,13.499,2.854,2.05,0.316,1.605,3.294,0.718,2.689,7.045,0.8499999999999999,2.741,0.379,0.132,0.068,0.868,7.934,0.32,0.142,0.067,2.616,25.136,3.586,4.954,2.276,3.552,48.511,2.49,2.549,0.57,1.635,5.764,0.497,0.119,0.112,3.377,41.55,2.897,2.554,0.35,1.791,38.821,3.706,2.152,1.155,1.548,13.338,2.793,2.111,6.385,1.652,10.17,0.923,0.401,0.134,1.478,5.27,1.021,0.966,0.162,1.815,3.042,1.95,2.0,7.61,2.879,17.362,2.187,2.565,1.2,1.912,2.679,1.405,2.699,6.591,3.455,2.513,1.666,2.471,6.793,1.917,1.798,1.672,2.537,6.846,0.396,1.398,0.902,0.688,0.112,0.332,0.24,0.145,0.084,0.057,1.322,1.514,2.643,5.888,1.88,2.631,1.213,2.834,3.819,5.231,3.04,0.592,1.409,1.694,7.767999999999998
17,0,0.863,0.541,0.407,1.539,0.435,3.586,0.776,1.478,1.59,7.892999999999998,2.665,0.658,0.572,2.118,7.923,3.627,2.704,0.794,3.083,7.081,1.518,0.881,1.902,6.134,2.733,0.185,0.08899999999999998,0.036,0.008999999999999998,0.008999999999999998,1.553,2.991,1.806,3.819,4.717,1.006,4.235,1.954,3.452,0.401,5.788,2.039,1.049,2.083,7.542,1.909,2.063,1.422,1.468,8.096999999999998,3.286,9.94,2.631,1.869,0.311,2.021,2.545,0.594,2.695,7.146,0.938,2.363,0.427,0.149,0.062,0.95,5.991,0.207,0.135,0.07499999999999998,2.973,19.372,3.1,4.921,2.254,4.011,35.855,3.305,2.298,0.637,1.558,4.4,0.466,0.105,0.091,3.278,34.432,2.989,2.857,0.448,1.76,33.519,3.373,2.271,1.315,1.89,12.296,3.007,2.16,6.394,1.709,8.729,0.615,0.465,0.125,1.509,4.618,1.105,0.787,0.212,2.672,3.217,2.011,1.917,7.761999999999999,3.028,12.68,1.583,2.071,1.248,1.812,2.646,0.94,2.985,6.575,3.515,3.179,1.5,2.674,6.946,2.264,2.29,1.388,2.719,6.871,0.352,1.476,0.8229999999999998,0.583,0.104,0.411,0.297,0.186,0.08699999999999998,0.064,1.36,1.754,1.93,5.635,2.111,2.261,2.626,1.987,3.834,5.679,3.514,0.801,1.566,1.696,7.918999999999999
18,0,0.709,0.59,0.591,1.624,0.454,3.405,0.732,1.548,1.5,7.816,2.535,0.568,0.556,2.326,7.875,3.592,3.068,0.889,3.177,6.94,1.983,0.8219999999999998,1.893,6.09,2.668,0.238,0.103,0.048,0.014,0.016,2.294,2.61,2.057,3.794,4.448,1.199,4.143,1.609,3.127,0.435,4.336,1.891,1.043,2.092,7.514,2.542,1.612,1.054,1.505,8.141,3.411,6.69,2.392,2.035,0.311,2.652,2.315,0.785,2.874,7.109,0.8249999999999998,1.685,0.473,0.15,0.059,0.712,3.429,0.118,0.139,0.091,4.436,13.402,2.694,5.065,2.078,3.757,26.097,3.503,2.704,0.578,1.203,4.447,0.57,0.133,0.07399999999999998,2.439,26.492,3.247,2.663,0.514,1.536,29.998,3.703,2.404,1.238,2.234,12.117,2.717,2.552,6.129,1.35,9.588,0.642,0.488,0.111,1.307,5.048,1.029,0.642,0.233,2.799,3.574,2.1,1.964,7.743,2.512,8.971,1.54,1.876,1.258,2.319,3.813,0.9900000000000002,3.214,6.451,3.787,4.051,1.501,2.816,6.948,2.382,3.196,1.511,2.921,6.667,0.392,1.802,0.7,0.527,0.096,0.588,0.362,0.261,0.117,0.08799999999999998,1.185,1.586,2.047,5.626,2.079,2.803,3.999,1.704,4.284,5.703,2.966,0.8319999999999999,1.497,1.874,7.998999999999999
19,0,0.638,0.637,0.808,1.636,0.436,3.171,0.572,1.493,1.745,7.529,2.192,0.631,0.55,2.537,7.851,3.253,3.743,1.099,3.346,6.717,1.938,1.206,2.213,6.207,2.56,0.261,0.08599999999999998,0.051,0.018,0.018,2.981,3.117,2.423,4.175,4.206,1.697,5.751,1.502,2.918,0.475,2.67,2.14,0.983,2.303,7.365,2.578,1.563,1.075,1.88,7.932,4.089,8.64,2.1,2.301,0.338,2.891,2.687,0.81,2.776,7.138,0.629,1.294,0.473,0.126,0.064,0.65,3.375,0.091,0.152,0.122,8.217,17.198,1.985,5.004,1.936,4.4,33.111,2.885,3.183,0.461,1.071,6.261,0.663,0.184,0.079,2.444,27.381,3.532,2.344,0.519,1.966,31.825,4.09,2.681,0.978,2.366,14.152,2.105,3.056,5.844,1.142,13.332,0.8469999999999999,0.553,0.121,1.048,5.582,0.942,0.535,0.206,2.216,4.333,2.154,2.128,7.557,2.897,8.766999999999998,1.623,2.026,1.117,2.373,4.331,0.957,3.147,6.46,3.65,3.808,1.209,2.914,6.876,1.853,3.118,1.487,2.976,6.51,0.424,1.831,0.659,0.552,0.081,0.654,0.436,0.343,0.146,0.1,0.875,1.305,2.624,5.795,1.889,3.314,3.805,1.747,4.933,5.432,2.079,0.761,1.2,2.163,7.881
20,0,0.61,0.63,0.866,1.556,0.401,2.875,0.676,1.548,2.078,7.291,2.257,0.636,0.421,2.544,7.917,2.764,3.394,0.9950000000000001,3.217,6.727,1.63,1.464,2.35,6.199,2.512,0.196,0.053,0.044,0.018,0.014,3.191,3.539,2.444,4.625,4.178,1.936,6.598,1.737,2.687,0.48,1.903,1.888,0.735,2.553,7.259,1.875,1.426,1.064,2.34,7.724,4.699,11.037,1.983,2.276,0.386,3.225,2.793,0.668,2.535,7.231,0.457,1.168,0.397,0.096,0.065,0.883,4.25,0.128,0.163,0.141,10.383,22.503,1.683,4.946,1.945,5.293,42.804,2.535,3.345,0.391,1.119,8.178,0.608,0.235,0.099,3.028,32.615,3.953,2.28,0.513,3.041,35.958,3.818,3.089,0.8179999999999998,2.761,15.065,1.8,3.049,6.012,1.094,16.365,1.123,0.73,0.151,0.712,5.185,0.865,0.506,0.162,1.767,4.769,1.902,2.125,7.562999999999999,4.499,10.514,1.628,2.34,0.961,2.129,3.992,0.866,2.828,6.671,3.11,2.67,1.079,2.883,6.897,1.498,2.343,1.296,2.782,6.636,0.35,1.516,0.811,0.576,0.062,0.488,0.511,0.379,0.143,0.08,0.694,1.027,2.774,5.887,1.772,3.233,2.853,1.876,5.002,5.323,1.842,0.8409999999999999,1.223,2.289,7.703
21,0,0.575,0.533,0.743,1.4,0.379,2.452,0.796,1.578,2.298,7.269999999999999,2.522,0.608,0.385,2.355,7.924,2.386,2.352,0.756,2.875,6.843,1.786,1.504,2.375,5.98,2.505,0.111,0.029,0.03,0.012,0.007,2.73,2.971,1.952,4.817,4.309,1.507,5.247,2.395,2.465,0.442,1.492,1.207,0.66,2.675,7.155,1.46,1.084,1.028,2.486,7.606,4.31,8.843,2.243,2.017,0.423,3.948,2.37,0.702,2.501,7.231,0.297,0.908,0.29,0.076,0.054,1.03,3.628,0.168,0.173,0.122,8.679999999999998,18.284,2.133,5.394,1.943,5.133,38.15,2.748,3.409,0.384,1.052,8.022,0.521,0.291,0.112,3.703,32.331,4.562,2.552,0.519,3.923,35.527,3.051,3.592,0.861,3.566,12.039,1.672,2.714,6.451,1.041,14.983,1.222,0.871,0.166,0.517,4.07,0.713,0.535,0.13,1.983,4.129,1.58,1.936,7.795,6.132,10.917,1.664,2.848,0.915,2.052,4.21,1.1,2.502,6.858,2.363,2.145,1.359,2.664,7.018,1.39,2.118,1.313,2.515,6.883,0.283,1.258,1.001,0.528,0.046,0.314,0.521,0.356,0.122,0.062,0.619,0.898,2.646,5.737,1.82,2.55,2.511,2.267,4.559,5.431,2.038,0.861,1.465,2.133,7.715
22,0,0.564,0.417,0.597,1.23,0.359,2.424,0.768,1.55,2.343,7.389,2.845,0.565,0.425,2.144,7.913999999999999,2.514,1.666,0.788,2.62,6.855,2.207,1.581,3.035,5.735,2.49,0.065,0.025,0.014,0.006,0.003,1.812,2.165,1.454,4.712,4.343,0.945,3.111,3.287,2.455,0.385,0.9950000000000001,0.664,0.909,2.681,7.036,1.554,0.804,1.12,2.338,7.546999999999999,3.126,4.774,2.432,1.759,0.407,4.105,1.73,0.865,2.548,7.182,0.244,0.594,0.22,0.07,0.035,0.944,2.131,0.173,0.17,0.085,5.632,8.862,2.612,5.865,1.887,3.925,25.147,2.455,3.404,0.388,0.857,6.32,0.519,0.359,0.116,3.983,26.477,4.678,3.158,0.507,3.619,30.25,2.082,4.146,0.961,3.831,11.089,1.498,2.531,6.507,0.886,12.103,1.031,0.781,0.158,0.539,3.78,0.551,0.548,0.12,2.104,3.501,1.602,1.783,7.867,6.143,10.833,1.546,3.564,0.912,2.424,5.597,1.421,2.383,6.818,2.454,2.509,1.619,2.557,7.037,1.218,2.338,1.463,2.472,6.963,0.302,1.608,0.976,0.445,0.039,0.302,0.403,0.34,0.119,0.081,0.478,1.123,2.865,5.634,1.91,2.342,2.613,3.054,4.419,5.455,2.489,0.8469999999999999,1.681,1.897,7.809999999999999
23,0,0.502,0.405,0.575,1.141,0.32,2.556,0.8519999999999999,1.477,2.306,7.525,3.017,0.539,0.464,2.067,7.958999999999999,2.702,1.391,0.963,2.652,6.771,2.174,1.662,4.301,5.742,2.501,0.047,0.036,0.008,0.005,0.003,1.306,1.82,1.5,4.79,4.223,0.8269999999999998,1.706,3.899,2.891,0.348,1.334,0.503,1.324,2.822,6.959,1.584,0.576,1.236,2.194,7.55,1.779,4.185,2.171,1.644,0.347,4.316,1.479,1.077,2.488,7.078,0.32,0.658,0.259,0.09300000000000001,0.025,0.988,1.743,0.191,0.167,0.071,3.655,5.72,2.548,5.705,1.947,2.481,22.412,1.803,3.339,0.356,0.805,5.878,0.529,0.407,0.118,3.325,25.433,3.958,3.592,0.496,2.237,29.458,1.476,4.294,1.022,3.175,18.732,1.52,2.454,5.988,0.638,13.556,0.913,0.559,0.168,0.628,5.386,0.758,0.64,0.134,1.669,4.388,1.955,1.749,7.617,4.263,14.439,1.476,4.126,0.919,3.343,7.641,1.564,2.517,6.587,4.374,3.141,1.743,2.746,6.872,1.518,2.521,1.559,2.539,6.887,0.345,2.627,0.738,0.444,0.055,0.326,0.241,0.344,0.128,0.103,0.493,1.499,2.933,5.756,1.951,3.24,2.527,3.535,4.549,5.394,3.037,0.9940000000000001,1.794,1.806,7.811
24,0,0.368,0.496,0.656,1.19,0.29,2.46,1.002,1.31,2.356,7.667,2.47,0.566,0.575,2.225,7.86,2.05,1.121,0.974,3.053,6.66,1.569,1.374,4.908,6.125,2.584,0.037,0.043,0.008,0.007,0.004,1.384,1.793,1.776,5.185,4.081,1.117,1.12,3.882,3.823,0.378,2.539,0.809,1.632,3.155,6.927,1.651,0.704,1.391,2.206,7.534,0.871,9.462,1.727,1.908,0.329,5.45,2.732,1.516,2.581,6.807,0.38,1.863,0.342,0.144,0.041,1.124,4.25,0.275,0.282,0.094,2.704,15.287,2.177,5.459,2.045,1.324,39.621,1.536,3.549,0.313,0.8479999999999999,8.365,0.442,0.432,0.125,1.889,39.664,2.903,3.322,0.515,0.9960000000000001,41.474,1.566,3.775,1.026,2.926,29.722,2.218,2.475,5.365,0.695,18.626,0.978,0.538,0.208,0.624,7.647,1.315,0.8199999999999998,0.152,1.356,6.436,2.72,1.853,7.25,2.257,22.228,1.923,4.212,0.957,4.151,9.507,1.784,2.912,6.316,6.167,3.702,1.94,3.081,6.719,2.25,2.924,1.74,2.604,6.849,0.321,3.303,0.459,0.531,0.096,0.325,0.226,0.341,0.142,0.099,0.591,1.759,2.509,5.966,2.005,3.957,2.341,3.133,4.496,5.474,3.55,1.103,1.692,1.95,7.857999999999999
25,0,0.296,0.551,0.633,1.241,0.28,2.404,1.001,1.327,2.527,7.692999999999999,1.674,0.529,0.697,2.568,7.605,1.314,0.885,0.853,3.585,6.599,0.9960000000000001,0.937,4.21,6.79,2.649,0.028,0.034,0.008,0.007,0.004,1.475,2.121,1.744,5.395,3.997,1.442,1.236,3.469,4.555,0.441,3.042,1.359,1.512,3.332,7.019,1.769,1.532,1.553,2.366,7.481,0.589,17.45,1.496,2.586,0.407,6.158,5.026,1.99,2.923,6.527,0.409,4.651,0.361,0.208,0.076,0.961,10.066,0.39,0.577,0.135,2.514,32.944,1.979,5.632,1.954,0.959,67.95,1.743,3.989,0.298,0.8489999999999999,12.278,0.279,0.452,0.134,1.239,62.972,2.362,2.799,0.531,1.142,57.73,2.197,3.323,0.97,3.471,33.009,3.564,2.79,5.173,1.523,20.802,1.055,0.788,0.223,0.68,8.298,1.724,0.8379999999999999,0.144,1.458,7.413,3.633,1.999,7.065,1.472,26.972,2.569,4.178,0.972,4.168,9.442,2.093,3.494,6.158,5.827,3.607,2.276,3.462,6.712,2.68,3.207,1.966,2.79,6.891,0.23,2.775,0.268,0.577,0.129,0.395,0.418,0.326,0.17,0.085,0.613,1.988,2.098,6.156,2.046,3.553,2.094,2.468,4.419,5.616,4.036,1.055,1.565,2.237,8.012
26,0,0.457,0.502,0.493,1.19,0.258,2.214,0.862,1.616,2.578,7.55,1.767,0.447,0.8519999999999999,2.846,7.5,2.1,0.768,0.863,3.853,6.666,1.045,0.733,2.994,7.237,2.624,0.021,0.019,0.007,0.006,0.003,1.249,3.11,1.509,5.173,3.976,1.505,1.94,3.071,4.425,0.456,2.664,1.756,1.065,3.234,7.248999999999999,1.883,2.527,1.515,2.564,7.485,1.327,21.081,1.676,3.175,0.508,5.761,6.372,2.068,3.129,6.479,0.532,7.466999999999999,0.364,0.284,0.104,0.65,15.694,0.557,0.858,0.158,4.228,44.156,2.615,5.768,1.762,2.485,85.30599999999998,2.192,4.004,0.319,1.023,14.538,0.171,0.462,0.132,2.938,75.266,2.683,2.958,0.508,3.455,61.232,2.9,3.767,0.921,3.6,26.561,4.337,3.27,5.423,2.812,17.934,0.879,0.984,0.187,1.051,7.397,1.656,0.612,0.112,1.56,6.43,3.616,2.097,7.166,2.116,23.451,2.802,4.597,0.921,4.716,7.477999999999998,2.327,3.997,6.106,4.853,3.055,2.68,3.735,6.693,3.04,3.256,2.112,3.025,6.837,0.258,1.877,0.215,0.553,0.128,0.529,0.618,0.322,0.201,0.08899999999999998,0.764,2.354,2.033,6.24,1.876,3.132,2.015,2.42,4.579,5.492,3.929,1.081,1.659,2.385,8.086
27,0,0.7259999999999999,0.528,0.497,1.2,0.238,1.668,0.671,1.708,2.372,7.450999999999999,2.421,0.535,1.149,3.019,7.556,3.782,1.21,1.5,3.916,6.705,1.783,0.736,2.708,7.373,2.539,0.016,0.012,0.007,0.006,0.003,1.351,4.982,1.522,4.76,3.997,1.311,3.117,3.023,3.938,0.42,2.906,2.159,0.8209999999999998,3.286,7.306,3.03,3.171,1.537,2.585,7.506,2.83,18.15,2.182,3.047,0.545,5.422,6.387,1.978,2.934,6.598,1.01,8.954,0.397,0.359,0.109,0.897,17.454,0.8439999999999999,0.867,0.138,6.833,41.98,4.416,5.419,1.707,5.767,81.168,2.925,3.282,0.4,1.586,14.602,0.238,0.448,0.129,6.252,70.68,3.53,3.509,0.452,7.091,53.26,3.741,4.678,0.931,3.12,19.832,4.026,3.692,5.595,3.726,15.287,0.571,0.905,0.15,1.752,7.285,1.326,0.41,0.096,2.151,5.807,2.514,2.267,7.288,3.505,18.392,2.997,5.422,0.8469999999999999,6.039,6.885,2.643,4.079,6.061,4.66,3.455,2.908,3.592,6.615,3.513,4.092,2.301,3.022,6.681,0.774,2.631,0.354,0.582,0.111,0.588,0.612,0.296,0.2,0.103,0.975,2.815,2.352,5.857,1.539,3.335,2.878,2.718,4.576,5.176,2.82,1.203,1.667,2.209,8.077999999999998
28,0,0.8459999999999999,0.745,0.631,1.327,0.256,1.557,0.627,1.571,2.169,7.466,2.865,0.8269999999999998,1.311,3.09,7.604,4.351,2.366,2.418,3.869,6.623,2.522,0.878,3.468,7.304,2.496,0.025,0.012,0.008,0.007,0.004,2.592,7.015,1.998,4.272,3.998,1.197,4.934,3.254,3.674,0.391,3.495,2.801,0.934,3.427,7.162,4.769,3.695,1.826,2.363,7.551999999999999,3.732,14.087,2.321,2.198,0.498,5.129,6.757,2.017,2.662,6.696,1.837,9.362,0.401,0.366,0.098,1.971,15.932,1.022,0.615,0.099,7.719999999999998,36.187,5.977,5.0,1.761,8.093999999999998,67.202,3.394,2.261,0.535,2.335,13.773,0.431,0.416,0.141,9.235,61.486,4.48,3.462,0.369,9.84,47.728,4.469,5.013,0.916,2.818,18.966,3.564,3.931,5.45,4.086,15.997,0.459,0.671,0.145,2.422,8.561999999999998,1.04,0.406,0.122,3.081,6.961,1.779,2.605,7.197,5.199,20.956,3.483,5.822,0.784,6.271,9.114,2.904,3.935,5.965,4.198,5.166,2.557,3.23,6.571,3.4,5.629,2.3,2.975,6.572,1.757,5.205,0.623,0.679,0.104,0.491,0.439,0.228,0.158,0.103,0.894,3.212,2.605,4.907,1.312,3.198,4.452,2.561,4.335,4.977,1.705,1.261,1.304,1.943,8.076
